,Name,Description,Link,Date
84,Michael Saylor's MicroStrategy Books a Much Smaller Bitcoin Impairment Charge,"Amid BTC's big rally, the company's impairment loss narrowed to $18.9 million in the first quarter from $197.6 million in the fourth quarter.",https://www.coindesk.com/business/2023/05/01/michael-saylors-microstrategy-books-a-much-smaller-bitcoin-impairment-charge/,"May 1, 2023"
85,Crypto Exchange Poloniex Agrees to $7.6M Fee to Settle Sanctions Violation Charges,Poloniex allegedly did not maintain proper know-your-customer practices between 2014 and 2019.,https://www.coindesk.com/policy/2023/05/01/crypto-exchange-poloniex-agrees-to-76m-fine-settle-sanctions-violation-charges/,"May 1, 2023"
86,Bitcoin Set New Record of Daily Transactions the Same Day the U.S. Government Quietly Engineered a Bank Buyout,"The events are unconnected, but crypto has a role to play in the wider political realignment questioning the sanctity of central banks and established powers.",https://www.coindesk.com/consensus-magazine/2023/05/01/bitcoin-set-new-record-of-daily-transactions-the-same-day-the-us-government-quietly-engineered-a-bank-buyout/,"May 1, 2023"
87,Sotheby's Launches On-Chain Secondary NFT Marketplace,"Sotheby’s Metaverse will now offer a curated, peer-to-peer marketplace via the Ethereum and Polygon networks.",https://www.coindesk.com/web3/2023/05/01/sothebys-launches-on-chain-secondary-nft-marketplace/,"May 1, 2023"
88,"NFT Marketplace Blur Launches Blend, a Peer-to-Peer Lending Platform","Short for Blur Lending, Blend will allow collectors to buy blue-chip NFTs with a smaller upfront payment, similar to a down payment on a house.",https://www.coindesk.com/web3/2023/05/01/nft-marketplace-blur-launches-peer-to-peer-lending-platform-blend/,"May 1, 2023"
89,Crypto Firm FARE Protocol Raises $6.2M Ahead of Token Launch," The fundraise was led by C Squared Ventures and Goat Capital, the firm co-founded by Twitch founder Justin Kan. ",https://www.coindesk.com/business/2023/05/01/crypto-firm-fare-protocol-raises-62m-ahead-of-token-launch/,"May 1, 2023"
90,'Shark Tank' but Make It Crypto: CoinMarketCap Launching Competition TV Show,"""Killer Whale"" will allow entrepreneurs to pitch ideas for new Web3 products and projects to a panel of judges.",https://www.coindesk.com/web3/2023/05/01/shark-tank-but-make-it-crypto-coinmarketcap-launching-new-competition-tv-show/,"May 1, 2023"
91,Justin Sun to Reverse $56M Binance Transfer After CEO Zhao Warns Against Potential SUI Token Grab,"""Binance Launchpool are meant as air drops for our retail users, not just for a few whales,"" Binance CEO Changpeng Zhao tweeted after Sun transferred $56 million in TUSD to Binance. ",https://www.coindesk.com/markets/2023/05/01/justin-sun-to-reverse-56m-binance-transfer-after-cz-warns-against-potential-sui-token-grab/,"May 1, 2023"
92,"Coinme, Subsidiary and CEO Fined $4M by SEC Over UpToken Offering","The bitcoin kiosk company, its subsidiary Up Global and the CEO of both entities were accused of conducting ""unregistered offers and sales of securities."" ",https://www.coindesk.com/policy/2023/05/01/coinme-subsidiary-and-ceo-fined-4m-by-sec-over-uptoken-offering/,"May 1, 2023"
93,"Nigeria's SEC Mulls Allowing Tokenized Equity, Property but Not Crypto: Bloomberg",The regulator is considering applications for digital asset exchanges on a trial basis. ,https://www.coindesk.com/policy/2023/05/01/nigerias-sec-mulls-allowing-tokenized-equity-property-but-not-crypto-bloomberg/,"May 1, 2023"
94,"First Mover Asia: Bitcoin, Ether Open Asia’s Trading Week Flat",ALSO: Five CoinDesk journalists offer their takeaways from Consensus 2023. They found an industry still filled with optimism but also realistic about the challenges ahead – most notably about the regulatory uncertainty.,https://www.coindesk.com/markets/2023/04/30/first-mover-asia-bitcoin-ether-open-asias-trading-week-flat/,"May 1, 2023"
95,Edward Snowden: Researchers Should Train AI to Be ‘Better Than Us’,"The former NSA whistleblower shared his hopes that AI’s intelligence could exceed that of humans and ultimately benefit humanity, despite fears the technology could be co-opted by bad actors.  ",https://www.coindesk.com/consensus2023/2023/04/28/edward-snowden-researchers-should-train-ai-to-be-better-than-us/,"April 29, 2023"
96,U.S. House Will Have Crypto Bill in 2 Months: Rep. McHenry,Rep. Patrick McHenry said the House Financial Services Committee and the Agriculture panel will meet jointly in May as they work on crypto legislation.,https://www.coindesk.com/policy/2023/04/28/us-house-will-have-crypto-bill-in-2-months-mchenry/,"April 29, 2023"
97,The Crypto Miner Reckoning: No Fate but What We Make,"As Bitcoin ages into its teens, it’s time to move beyond tribalism so we can work collectively with legislators and innovate business models of the future, writes Samir Tabar of Bit Digital.",https://www.coindesk.com/consensus-magazine/2023/04/28/the-crypto-miner-reckoning-no-fate-but-what-we-make/,"April 29, 2023"
98,Marvel Studios Founder Says Web3 Has 'Same Seed' of His Early Marvel Days,David Maisel made his first public appearance since he sold Marvel to Disney 10 years ago at Consensus 2023. ,https://www.coindesk.com/consensus2023/2023/04/28/marvel-studios-founder-says-web3-has-same-seed-of-his-early-marvel-days/,"April 29, 2023"
99,"Crypto Industry Is 'Absolutely' at War Against Gensler and Warren, Blockchain Association CEO Smith Says","The war won't last forever, but probably will continue for the next 18-20 months, Kristin Smith said.",https://www.coindesk.com/policy/2023/04/28/crypto-industry-is-absolutely-at-war-against-gensler-warren-blockchain-association-ceo-smith-says/,"April 29, 2023"
100,5 Consensus 2023 Takeaways,CoinDesk editorial team members convened to share their insights on the pivotal topics that will influence the future direction of the crypto industry.     ,https://www.coindesk.com/consensus-magazine/2023/04/28/5-consensus-2023-takeaways/,"April 29, 2023"
101,DeFi Needs More Than ‘Synthetic High-Yield Products’: Dragonfly’s Haseeb Qureshi,"The venture capitalist discusses non-ZIRP monetary policy, rebooting crypto’s market structure and why Ponzi bubbles always burst.",https://www.coindesk.com/consensus-magazine/2023/04/28/defi-needs-more-than-synthetic-high-yield-products-dragonflys-haseeb-qureshi/,"April 29, 2023"
102,"'Opportunism and Demagoguery' Fuel the U.S. Regulatory Crackdown, Steptoe Partner Says","Steptoe partner Jason Weinstein, on the stage at Consensus 2023, said this latest wave of crackdowns on the crypto industry is the worst he has ever seen.",https://www.coindesk.com/policy/2023/04/28/opportunism-and-demagoguery-fuels-the-us-regulatory-crackdown-steptoe-partner-says/,"April 29, 2023"
103,"Crypto Tax Guidance Could Come in '12-ish' Months, Says IRS Official","Julie Foerster, the agency's point person for cryptocurrency taxation, also stressed a need for working with the community at Consensus 2023.",https://www.coindesk.com/business/2023/04/28/crypto-tax-plan-could-come-in-12-ish-months-says-irs-official/,"April 29, 2023"
104,Web3 News From Consensus,A special edition of The Airdrop on the ground in Austin at CoinDesk's festival.,https://www.coindesk.com/web3/2023/04/28/web3-news-from-consensus/,"April 28, 2023"
105,"Bitcoin Use Cases Are Seeing ‘Explosive Growth,' Trust Machines Says","""Bitcoin is fun again because there's a place to build again,"" said Muneeb Ali, CEO of Trust Machines and co-founder of Stacks, on StageX at Consensus 2023.",https://www.coindesk.com/tech/2023/04/28/bitcoin-use-cases-are-seeing-explosive-growth-trust-machines-says/,"April 28, 2023"
106,Mastercard Launches Crypto Credential Service for Cross-Border Transfers,"The set of verification standards uses technology from CipherTrace, the well-known blockchain analytics platform Mastercard agreed to acquire in late 2021. ",https://www.coindesk.com/business/2023/04/28/mastercard-launches-crypto-credential-service-for-cross-border-transfers/,"April 28, 2023"
107,Yuga Labs CEO: 'The Metaverse Is Not New',"The company behind the Bored Apes Yacht Club has a new CEO from Web2, and he knows that you can’t build Web3 with a Web2 mindset. ",https://www.coindesk.com/web3/2023/04/28/yuga-labs-ceo-the-metaverse-is-not-new/,"April 28, 2023"
108,"Global Crypto Regulation Needs Coordination, Not Duplication, Legal Experts Say","""It's not good to put crypto all in the same basket and look at it in a vacuum,"" said Marianne Bechara, senior counsel at the International Monetary Fund. ",https://www.coindesk.com/policy/2023/04/28/global-crypto-regulation-needs-coordination-not-duplication-legal-experts-say/,"April 28, 2023"
109,"Signature Bank Failed Because of Mismanagement, Contagion, FDIC Report Says",The Federal Deposit Insurance Corp. said Signature’s exposure to crypto industry deposits was also a contributing factor. ,https://www.coindesk.com/policy/2023/04/28/signature-bank-failed-because-of-mismanagement-contagion-fdic-report-says/,"April 28, 2023"
110,"Balaji Srinivasan Explains $1M Bitcoin Bet Rationale, Says Could Take Longer Than 90 Days",The entrepreneur pointed to the government printing money as the reason for his bullish call.,https://www.coindesk.com/markets/2023/04/28/balaji-srinivasan-explains-1m-bitcoin-bet-rationale-says-could-take-90-months-not-90-days/,"April 28, 2023"
111,"'Operation Choke Point 2.0' Is SEC's 'Chemotherapy' for $14B Ponzi Problem, BCB's CEO Says","What happened to Custodia Bank is ""tragic"" under the current administration's efforts to de-bank the crypto industry, BCB's Oliver von Landsberg-Sadie said. ",https://www.coindesk.com/business/2023/04/28/operation-choke-point-20-is-secs-chemotherapy-for-14b-ponzi-problem-bcbs-ceo-says/,"April 28, 2023"
112,"PayPal to Enable On-Chain Transfers From Venmo Accounts, Including to On-Chain Wallets","The feature will become available in May, PayPal's Jose Fernandez da Ponte said during  a panel at Consensus 2023.",https://www.coindesk.com/business/2023/04/28/paypal-to-enable-on-chain-transfers-from-venmo-accounts-including-to-on-chain-wallets/,"April 28, 2023"
113,"Web3 Music Requires Fresh Ideas to Succeed, Says Warner Music Exec","The digitally augmented space is a key part of Warner Music Group's future plans, Chief Digital Officer Oana Ruxandra said at Consensus 2023.",https://www.coindesk.com/web3/2023/04/28/web3-music-requires-fresh-ideas-to-succeed-says-warner-music-exec/,"April 28, 2023"
114,"Crypto Exchange Binance's Head of Product Discusses AI, Supercycles and What Gets Him Excited Nowadays ","Mayur Kamat, a tech industry veteran, discusses how the world's largest crypto exchange is using artificial intelligence and the future of the tech industry.",https://www.coindesk.com/consensus-magazine/2023/04/28/crypto-exchange-binances-head-of-product-discusses-ai-supercycles-and-what-gets-him-excited-nowadays/,"April 28, 2023"
115,Genesis Bankruptcy Parties Agree to 30-Day Mediation Period,The process can start once the parties agree on a mediator and submit an order to the U.S. bankruptcy court. ,https://www.coindesk.com/policy/2023/04/28/genesis-bankruptcy-parties-agree-to-a-30-day-mediation-period/,"April 28, 2023"
116,Terra Classic Hopefuls Mull Revival of Failed UST Stablecoin,Community members are vying for a new model to bolster revenue to sustain a peg to the U.S. dollar.,https://www.coindesk.com/tech/2023/04/28/terra-classic-hopefuls-mull-revival-of-failed-ust-stablecoin/,"April 28, 2023"
117,"Amid Bankruptcy, Core Scientific Signs Bitcoin Mining Hosting Contracts for Almost 18,000 Machines",The miner signed deals with three firms to host rigs at sites where the Celsius Mining fleet was recently unplugged.,https://www.coindesk.com/business/2023/04/28/amid-bankruptcy-core-scientific-signs-bitcoin-mining-hosting-contracts-for-18000-machines/,"April 28, 2023"
118,Epic Games Alum Mike Seavers Will Join Web3 Giant Yuga Labs as CTO,Mike Seavers will join the home of Bored Ape Yacht Club on May 22. ,https://www.coindesk.com/business/2023/04/28/epic-games-alum-mike-seavers-will-join-web3-giant-yuga-labs-as-cto/,"April 28, 2023"
119,DeFi Protocol 0VIX Loses Nearly $2M in Flash-Loan Exploit,The attacker stole 1.45 USDC along with other tokens.,https://www.coindesk.com/business/2023/04/28/defi-protocol-0vix-loses-nearly-2m-in-flash-loan-exploit/,"April 28, 2023"
